2025-05-22 08:48:11,791 | DEBUG | asyncio | Using selector: KqueueSelector
2025-05-22 08:48:23,805 | DEBUG | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Date', b'Thu, 22 May 2025 12:48:23 GMT'), (b'Content-Type', b'application/json'), (b'Transfer-Encoding', b'chunked'), (b'Connection', b'keep-alive'), (b'access-control-expose-headers', b'X-Request-ID'), (b'openai-organization', b'personal-8rj4hz'), (b'openai-processing-ms', b'992'), (b'openai-version', b'2020-10-01'), (b'x-envoy-upstream-service-time', b'996'), (b'x-ratelimit-limit-requests', b'10000'), (b'x-ratelimit-limit-tokens', b'200000'), (b'x-ratelimit-remaining-requests', b'9999'), (b'x-ratelimit-remaining-tokens', b'199442'), (b'x-ratelimit-reset-requests', b'8.64s'), (b'x-ratelimit-reset-tokens', b'167ms'), (b'x-request-id', b'req_621c2a4e6e5cb404d50c71f5f077ca10'), (b'strict-transport-security', b'max-age=31536000; includeSubDomains; preload'), (b'cf-cache-status', b'DYNAMIC'), (b'Set-Cookie', b'__cf_bm=3y9dP4FJn0bYfQGO30qGhfufQSHuI_3uNbsJrKbe948-1747918103-1.0.1.1-AshX1Ge48d2aw1w1c6Xr23tUlgE86HWcrNacK8MbtTM3RZIEV.ESlYl2rY32n0tqw8FMLE3bAmiHcrL9H_pqBsbPGirKLyQxCq6oOa9bB40; path=/; expires=Thu, 22-May-25 13:18:23 GMT; domain=.api.openai.com; HttpOnly; Secure; SameSite=None'), (b'X-Content-Type-Options', b'nosniff'), (b'Set-Cookie', b'_cfuvid=N7suRccmetujGyp9NCLpiqAIlHTHSXVAxEuIS84QzLA-1747918103831-0.0.1.1-604800000; path=/; domain=.api.openai.com; HttpOnly; Secure; SameSite=None'), (b'Server', b'cloudflare'), (b'CF-RAY', b'943c6d6c18ebe248-ORD'), (b'Content-Encoding', b'gzip'), (b'alt-svc', b'h3=":443"; ma=86400')])
2025-05-22 08:48:23,809 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-05-22 08:48:23,809 | DEBUG | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2025-05-22 08:48:23,810 | DEBUG | httpcore.http11 | receive_response_body.complete
2025-05-22 08:48:23,810 | DEBUG | httpcore.http11 | response_closed.started
2025-05-22 08:48:23,810 | DEBUG | httpcore.http11 | response_closed.complete
2025-05-22 08:48:23,811 | DEBUG | openai._base_client | HTTP Response: POST https://api.openai.com/v1/chat/completions "200 OK" Headers([('date', 'Thu, 22 May 2025 12:48:23 GMT'), ('content-type', 'application/json'), ('transfer-encoding', 'chunked'), ('connection', 'keep-alive'), ('access-control-expose-headers', 'X-Request-ID'), ('openai-organization', 'personal-8rj4hz'), ('openai-processing-ms', '992'), ('openai-version', '2020-10-01'), ('x-envoy-upstream-service-time', '996'), ('x-ratelimit-limit-requests', '10000'), ('x-ratelimit-limit-tokens', '200000'), ('x-ratelimit-remaining-requests', '9999'), ('x-ratelimit-remaining-tokens', '199442'), ('x-ratelimit-reset-requests', '8.64s'), ('x-ratelimit-reset-tokens', '167ms'), ('x-request-id', 'req_621c2a4e6e5cb404d50c71f5f077ca10'), ('strict-transport-security', 'max-age=31536000; includeSubDomains; preload'), ('cf-cache-status', 'DYNAMIC'), ('set-cookie', '__cf_bm=3y9dP4FJn0bYfQGO30qGhfufQSHuI_3uNbsJrKbe948-1747918103-1.0.1.1-AshX1Ge48d2aw1w1c6Xr23tUlgE86HWcrNacK8MbtTM3RZIEV.ESlYl2rY32n0tqw8FMLE3bAmiHcrL9H_pqBsbPGirKLyQxCq6oOa9bB40; path=/; expires=Thu, 22-May-25 13:18:23 GMT; domain=.api.openai.com; HttpOnly; Secure; SameSite=None'), ('x-content-type-options', 'nosniff'), ('set-cookie', '_cfuvid=N7suRccmetujGyp9NCLpiqAIlHTHSXVAxEuIS84QzLA-1747918103831-0.0.1.1-604800000; path=/; domain=.api.openai.com; HttpOnly; Secure; SameSite=None'), ('server', 'cloudflare'), ('cf-ray', '943c6d6c18ebe248-ORD'), ('content-encoding', 'gzip'), ('alt-svc', 'h3=":443"; ma=86400')])
2025-05-22 08:48:23,811 | DEBUG | openai._base_client | request_id: req_621c2a4e6e5cb404d50c71f5f077ca10
2025-05-22 08:48:23,881 | DEBUG | httpcore.connection | close.started
2025-05-22 08:48:23,882 | DEBUG | httpcore.connection | close.complete
2025-05-22 08:49:48,782 | DEBUG | asyncio | Using selector: KqueueSelector
2025-05-22 08:49:48,896 | DEBUG | openai._base_client | Request options: {'method': 'post', 'url': '/chat/completions', 'files': None, 'idempotency_key': 'stainless-python-retry-fbd6420e-993e-499b-af19-b1bcce1d8260', 'json_data': {'messages': [{'role': 'system', 'content': '\nYou are a skilled news researcher specialized in corporate and industry news. Your task is to rewrite user requests into a set of 1 to 4 **distinct, time-sensitive Google search queries** that surface the most relevant and recent news articles. These queries should focus on company-specific or industry-specific events like quarterly earnings, acquisitions, product launches, partnerships, or regulatory decisions.\n\n**Today\'s date is: May 22, 2025.** Use this as your reference for current year and quarter.\n\nFollow these instructions carefully:\n\n1. **Use Current Year and Quarter Context:**\n   - Assume today\'s year is the default unless the user explicitly specifies another year.\n   - If the user mentions a quarter, convert it to the most recent applicable quarter of 2025.\n   - If the user is vague (e.g. "recent earnings"), infer the most recent completed quarter.\n   - Never generate queries about past years (e.g., 2023) unless the user specifies it.\n\n2. **Produce Multiple Distinct Queries:**\n   - Generate between 1 and 4 different Google search queries that together fully cover the user’s topic.\n   - Each query should target a slightly different angle — e.g., different companies, products, subtopics, or news types (earnings, testing, launches, partnerships, etc.).\n\n3. **Query Format Rules:**\n   - DO NOT wrap the entire query in quotation marks.\n   - Use **keywords and short phrases**, not full-sentence queries.\n   - You MAY use individual quoted terms (e.g., "Abbott" "Q1 2025") for better targeting, but avoid long quoted phrases.\n   - DO NOT invent dates. Infer only from today\'s date or what the user explicitly states.\n\n4. **Examples:**\n   - Input: "Abbott infectious disease testing Q1"\n     → Output:\n       - Abbott Q1 2025 earnings report\n       - Abbott infectious disease test sales Q1 2025\n       - Abbott diagnostics revenue Q1 2025\n       - Abbott COVID flu RSV test update May 2025\n\n   - Input: "Cepheid product news"\n     → Output:\n       - Cepheid product launch 2025\n       - Cepheid respiratory panel update 2025\n       - Cepheid diagnostic pipeline May 2025\n\nReturn your output as a plain list of search-ready strings.\n'}, {'role': 'user', 'content': 'molecular testing for infectious disease company news'}], 'model': 'gpt-4o-mini', 'temperature': 0.3}}
2025-05-22 08:49:48,914 | DEBUG | openai._base_client | Sending HTTP Request: POST https://api.openai.com/v1/chat/completions
2025-05-22 08:49:48,914 | DEBUG | httpcore.connection | connect_tcp.started host='api.openai.com' port=443 local_address=None timeout=5.0 socket_options=None
2025-05-22 08:49:48,974 | DEBUG | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x103e06660>
2025-05-22 08:49:48,974 | DEBUG | httpcore.connection | start_tls.started ssl_context=<ssl.SSLContext object at 0x103909760> server_hostname='api.openai.com' timeout=5.0
2025-05-22 08:49:49,021 | DEBUG | httpcore.connection | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x103ef8550>
2025-05-22 08:49:49,021 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2025-05-22 08:49:49,022 | DEBUG | httpcore.http11 | send_request_headers.complete
2025-05-22 08:49:49,022 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2025-05-22 08:49:49,022 | DEBUG | httpcore.http11 | send_request_body.complete
2025-05-22 08:49:49,022 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2025-05-22 08:49:50,033 | DEBUG | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Date', b'Thu, 22 May 2025 12:49:50 GMT'), (b'Content-Type', b'application/json'), (b'Transfer-Encoding', b'chunked'), (b'Connection', b'keep-alive'), (b'access-control-expose-headers', b'X-Request-ID'), (b'openai-organization', b'personal-8rj4hz'), (b'openai-processing-ms', b'898'), (b'openai-version', b'2020-10-01'), (b'x-envoy-upstream-service-time', b'900'), (b'x-ratelimit-limit-requests', b'10000'), (b'x-ratelimit-limit-tokens', b'200000'), (b'x-ratelimit-remaining-requests', b'9999'), (b'x-ratelimit-remaining-tokens', b'199442'), (b'x-ratelimit-reset-requests', b'8.64s'), (b'x-ratelimit-reset-tokens', b'167ms'), (b'x-request-id', b'req_a36bef7b966b708693dd10889b38085f'), (b'strict-transport-security', b'max-age=31536000; includeSubDomains; preload'), (b'cf-cache-status', b'DYNAMIC'), (b'Set-Cookie', b'__cf_bm=aeRnVtFYDkiYT.eyvrnRmSQHxl.yN3U6LKNLiN51N2U-1747918190-1.0.1.1-7MOzTJUVm6t3Szy_h5oEq584i9332CuhPqeYv1d6Hx0su1Ya0c98DyRYS9mZcTJyKR6cILn3qSxq1IDodick_IVb2EFLUSHkISZq2SySE_o; path=/; expires=Thu, 22-May-25 13:19:50 GMT; domain=.api.openai.com; HttpOnly; Secure; SameSite=None'), (b'X-Content-Type-Options', b'nosniff'), (b'Set-Cookie', b'_cfuvid=TomIIJbG6SMw2BjoEtWhvZ3tC25MULveAdarABBV0PE-1747918190113-0.0.1.1-604800000; path=/; domain=.api.openai.com; HttpOnly; Secure; SameSite=None'), (b'Server', b'cloudflare'), (b'CF-RAY', b'943c6f8a2ec519b0-ORD'), (b'Content-Encoding', b'gzip'), (b'alt-svc', b'h3=":443"; ma=86400')])
2025-05-22 08:49:50,035 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-05-22 08:49:50,035 | DEBUG | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2025-05-22 08:49:50,036 | DEBUG | httpcore.http11 | receive_response_body.complete
2025-05-22 08:49:50,036 | DEBUG | httpcore.http11 | response_closed.started
2025-05-22 08:49:50,036 | DEBUG | httpcore.http11 | response_closed.complete
2025-05-22 08:49:50,037 | DEBUG | openai._base_client | HTTP Response: POST https://api.openai.com/v1/chat/completions "200 OK" Headers([('date', 'Thu, 22 May 2025 12:49:50 GMT'), ('content-type', 'application/json'), ('transfer-encoding', 'chunked'), ('connection', 'keep-alive'), ('access-control-expose-headers', 'X-Request-ID'), ('openai-organization', 'personal-8rj4hz'), ('openai-processing-ms', '898'), ('openai-version', '2020-10-01'), ('x-envoy-upstream-service-time', '900'), ('x-ratelimit-limit-requests', '10000'), ('x-ratelimit-limit-tokens', '200000'), ('x-ratelimit-remaining-requests', '9999'), ('x-ratelimit-remaining-tokens', '199442'), ('x-ratelimit-reset-requests', '8.64s'), ('x-ratelimit-reset-tokens', '167ms'), ('x-request-id', 'req_a36bef7b966b708693dd10889b38085f'), ('strict-transport-security', 'max-age=31536000; includeSubDomains; preload'), ('cf-cache-status', 'DYNAMIC'), ('set-cookie', '__cf_bm=aeRnVtFYDkiYT.eyvrnRmSQHxl.yN3U6LKNLiN51N2U-1747918190-1.0.1.1-7MOzTJUVm6t3Szy_h5oEq584i9332CuhPqeYv1d6Hx0su1Ya0c98DyRYS9mZcTJyKR6cILn3qSxq1IDodick_IVb2EFLUSHkISZq2SySE_o; path=/; expires=Thu, 22-May-25 13:19:50 GMT; domain=.api.openai.com; HttpOnly; Secure; SameSite=None'), ('x-content-type-options', 'nosniff'), ('set-cookie', '_cfuvid=TomIIJbG6SMw2BjoEtWhvZ3tC25MULveAdarABBV0PE-1747918190113-0.0.1.1-604800000; path=/; domain=.api.openai.com; HttpOnly; Secure; SameSite=None'), ('server', 'cloudflare'), ('cf-ray', '943c6f8a2ec519b0-ORD'), ('content-encoding', 'gzip'), ('alt-svc', 'h3=":443"; ma=86400')])
2025-05-22 08:49:50,037 | DEBUG | openai._base_client | request_id: req_a36bef7b966b708693dd10889b38085f
2025-05-22 08:49:50,112 | DEBUG | httpcore.connection | close.started
2025-05-22 08:49:50,112 | DEBUG | httpcore.connection | close.complete
2025-05-22 08:51:48,698 | DEBUG | asyncio | Using selector: KqueueSelector
2025-05-22 08:51:48,820 | DEBUG | openai._base_client | Request options: {'method': 'post', 'url': '/chat/completions', 'files': None, 'idempotency_key': 'stainless-python-retry-6bb95e1f-b175-4f4d-bc04-80572699e8ca', 'json_data': {'messages': [{'role': 'system', 'content': '\nYou are a skilled news researcher specialized in corporate and industry news. Your task is to rewrite user requests into a set of 1 to 4 **distinct, time-sensitive Google search queries** that surface the most relevant and recent news articles. These queries should focus on company-specific or industry-specific events like quarterly earnings, acquisitions, product launches, partnerships, or regulatory decisions.\n\n**Today\'s date is: May 22, 2025.** Use this as your reference for current year and quarter.\n\nFollow these instructions carefully:\n\n1. **Use Current Year and Quarter Context:**\n   - Assume today\'s year is the default unless the user explicitly specifies another year.\n   - If the user mentions a quarter, convert it to the most recent applicable quarter of 2025.\n   - If the user is vague (e.g. "recent earnings"), infer the most recent completed quarter.\n   - Never generate queries about past years (e.g., 2023) unless the user specifies it.\n\n2. **Produce Multiple Distinct Queries:**\n   - Generate between 1 and 4 different Google search queries that together fully cover the user’s topic.\n   - Each query should target a slightly different angle — e.g., different companies, products, subtopics, or news types (earnings, testing, launches, partnerships, etc.).\n\n3. **Query Format Rules:**\n   - DO NOT wrap the entire query in quotation marks.\n   - Use **keywords and short phrases**, not full-sentence queries.\n   - You MAY use individual quoted terms (e.g., "Abbott" "Q1 2025") for better targeting, but avoid long quoted phrases.\n   - DO NOT invent dates. Infer only from today\'s date or what the user explicitly states.\n\n4. **Examples:**\n   - Input: "Abbott infectious disease testing Q1"\n     → Output:\n       - Abbott Q1 2025 earnings report\n       - Abbott infectious disease test sales Q1 2025\n       - Abbott diagnostics revenue Q1 2025\n       - Abbott COVID flu RSV test update May 2025\n\n   - Input: "Cepheid product news"\n     → Output:\n       - Cepheid product launch 2025\n       - Cepheid respiratory panel update 2025\n       - Cepheid diagnostic pipeline May 2025\n\nReturn your output as a plain list of search-ready strings.\n'}, {'role': 'user', 'content': 'molecular testing for infectious disease company news'}], 'model': 'gpt-4o-mini', 'temperature': 0.3}}
2025-05-22 08:51:48,840 | DEBUG | openai._base_client | Sending HTTP Request: POST https://api.openai.com/v1/chat/completions
2025-05-22 08:51:48,840 | DEBUG | httpcore.connection | connect_tcp.started host='api.openai.com' port=443 local_address=None timeout=5.0 socket_options=None
2025-05-22 08:51:59,163 | DEBUG | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x1099be660>
2025-05-22 08:51:59,163 | DEBUG | httpcore.connection | start_tls.started ssl_context=<ssl.SSLContext object at 0x108a81760> server_hostname='api.openai.com' timeout=5.0
2025-05-22 08:51:59,203 | DEBUG | httpcore.connection | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x109ab0550>
2025-05-22 08:51:59,204 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2025-05-22 08:51:59,204 | DEBUG | httpcore.http11 | send_request_headers.complete
2025-05-22 08:51:59,204 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2025-05-22 08:51:59,204 | DEBUG | httpcore.http11 | send_request_body.complete
2025-05-22 08:51:59,204 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2025-05-22 08:52:00,213 | DEBUG | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Date', b'Thu, 22 May 2025 12:52:00 GMT'), (b'Content-Type', b'application/json'), (b'Transfer-Encoding', b'chunked'), (b'Connection', b'keep-alive'), (b'access-control-expose-headers', b'X-Request-ID'), (b'openai-organization', b'personal-8rj4hz'), (b'openai-processing-ms', b'898'), (b'openai-version', b'2020-10-01'), (b'x-envoy-upstream-service-time', b'901'), (b'x-ratelimit-limit-requests', b'10000'), (b'x-ratelimit-limit-tokens', b'200000'), (b'x-ratelimit-remaining-requests', b'9999'), (b'x-ratelimit-remaining-tokens', b'199442'), (b'x-ratelimit-reset-requests', b'8.64s'), (b'x-ratelimit-reset-tokens', b'167ms'), (b'x-request-id', b'req_679f27cc13b479f258a55cbe98fa678e'), (b'strict-transport-security', b'max-age=31536000; includeSubDomains; preload'), (b'cf-cache-status', b'DYNAMIC'), (b'Set-Cookie', b'__cf_bm=pr_hfgiy61NKceqZQpvPogbk.ANDla8wMI8FHuFXtuo-1747918320-1.0.1.1-vYdZ1kSuKKf2rVu03RHpmjuwYd6wgMvKGBRhonx5MNKbBrVWCrs9bcAYRolo86jMyfwbh0z66bWacewyDGFoQfxDuurcwN48nLTPyGJP0ag; path=/; expires=Thu, 22-May-25 13:22:00 GMT; domain=.api.openai.com; HttpOnly; Secure; SameSite=None'), (b'X-Content-Type-Options', b'nosniff'), (b'Set-Cookie', b'_cfuvid=nXRYHPunGA5PzbzrhlyFWYL5Q5ZOz8geTenfcXbw3i8-1747918320301-0.0.1.1-604800000; path=/; domain=.api.openai.com; HttpOnly; Secure; SameSite=None'), (b'Server', b'cloudflare'), (b'CF-RAY', b'943c72b7bd7682cc-IAD'), (b'Content-Encoding', b'gzip'), (b'alt-svc', b'h3=":443"; ma=86400')])
2025-05-22 08:52:00,214 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-05-22 08:52:00,214 | DEBUG | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2025-05-22 08:52:00,214 | DEBUG | httpcore.http11 | receive_response_body.complete
2025-05-22 08:52:00,215 | DEBUG | httpcore.http11 | response_closed.started
2025-05-22 08:52:00,215 | DEBUG | httpcore.http11 | response_closed.complete
2025-05-22 08:52:00,215 | DEBUG | openai._base_client | HTTP Response: POST https://api.openai.com/v1/chat/completions "200 OK" Headers([('date', 'Thu, 22 May 2025 12:52:00 GMT'), ('content-type', 'application/json'), ('transfer-encoding', 'chunked'), ('connection', 'keep-alive'), ('access-control-expose-headers', 'X-Request-ID'), ('openai-organization', 'personal-8rj4hz'), ('openai-processing-ms', '898'), ('openai-version', '2020-10-01'), ('x-envoy-upstream-service-time', '901'), ('x-ratelimit-limit-requests', '10000'), ('x-ratelimit-limit-tokens', '200000'), ('x-ratelimit-remaining-requests', '9999'), ('x-ratelimit-remaining-tokens', '199442'), ('x-ratelimit-reset-requests', '8.64s'), ('x-ratelimit-reset-tokens', '167ms'), ('x-request-id', 'req_679f27cc13b479f258a55cbe98fa678e'), ('strict-transport-security', 'max-age=31536000; includeSubDomains; preload'), ('cf-cache-status', 'DYNAMIC'), ('set-cookie', '__cf_bm=pr_hfgiy61NKceqZQpvPogbk.ANDla8wMI8FHuFXtuo-1747918320-1.0.1.1-vYdZ1kSuKKf2rVu03RHpmjuwYd6wgMvKGBRhonx5MNKbBrVWCrs9bcAYRolo86jMyfwbh0z66bWacewyDGFoQfxDuurcwN48nLTPyGJP0ag; path=/; expires=Thu, 22-May-25 13:22:00 GMT; domain=.api.openai.com; HttpOnly; Secure; SameSite=None'), ('x-content-type-options', 'nosniff'), ('set-cookie', '_cfuvid=nXRYHPunGA5PzbzrhlyFWYL5Q5ZOz8geTenfcXbw3i8-1747918320301-0.0.1.1-604800000; path=/; domain=.api.openai.com; HttpOnly; Secure; SameSite=None'), ('server', 'cloudflare'), ('cf-ray', '943c72b7bd7682cc-IAD'), ('content-encoding', 'gzip'), ('alt-svc', 'h3=":443"; ma=86400')])
2025-05-22 08:52:00,215 | DEBUG | openai._base_client | request_id: req_679f27cc13b479f258a55cbe98fa678e
2025-05-22 08:52:00,274 | DEBUG | httpcore.connection | close.started
2025-05-22 08:52:00,275 | DEBUG | httpcore.connection | close.complete
2025-05-22 08:55:03,935 | DEBUG | asyncio | Using selector: KqueueSelector
2025-05-22 08:55:04,055 | DEBUG | openai._base_client | Request options: {'method': 'post', 'url': '/chat/completions', 'files': None, 'idempotency_key': 'stainless-python-retry-de366932-12e4-4873-8a9c-4e0416893ea2', 'json_data': {'messages': [{'role': 'system', 'content': '\nYou are a skilled news researcher specialized in corporate and industry news. Your task is to rewrite user requests into a set of 1 to 4 **distinct, time-sensitive Google search queries** that surface the most relevant and recent news articles. These queries should focus on company-specific or industry-specific events like quarterly earnings, acquisitions, product launches, partnerships, or regulatory decisions.\n\n**Today\'s date is: May 22, 2025.** Use this as your reference for current year and quarter.\n\nFollow these instructions carefully:\n\n1. **Use Current Year and Quarter Context:**\n   - Assume today\'s year is the default unless the user explicitly specifies another year.\n   - If the user mentions a quarter, convert it to the most recent applicable quarter of 2025.\n   - If the user is vague (e.g. "recent earnings"), infer the most recent completed quarter.\n   - Never generate queries about past years (e.g., 2023) unless the user specifies it.\n\n2. **Produce Multiple Distinct Queries:**\n   - Generate between 1 and 4 different Google search queries that together fully cover the user’s topic.\n   - Each query should target a slightly different angle — e.g., different companies, products, subtopics, or news types (earnings, testing, launches, partnerships, etc.).\n\n3. **Query Format Rules:**\n   - DO NOT wrap the entire query in quotation marks.\n   - Use **keywords and short phrases**, not full-sentence queries.\n   - You MAY use individual quoted terms (e.g., "Abbott" "Q1 2025") for better targeting, but avoid long quoted phrases.\n   - DO NOT invent dates. Infer only from today\'s date or what the user explicitly states.\n\n4. **Examples:**\n   - Input: "Abbott infectious disease testing Q1"\n     → Output:\n       - Abbott Q1 2025 earnings report\n       - Abbott infectious disease test sales Q1 2025\n       - Abbott diagnostics revenue Q1 2025\n       - Abbott COVID flu RSV test update May 2025\n\n   - Input: "Cepheid product news"\n     → Output:\n       - Cepheid product launch 2025\n       - Cepheid respiratory panel update 2025\n       - Cepheid diagnostic pipeline May 2025\n\nReturn your output as a plain list of search-ready strings.\n'}, {'role': 'user', 'content': 'molecular testing for infectious disease company news'}], 'model': 'gpt-4o-mini', 'temperature': 0.3}}
2025-05-22 08:55:04,073 | DEBUG | openai._base_client | Sending HTTP Request: POST https://api.openai.com/v1/chat/completions
2025-05-22 08:55:04,074 | DEBUG | httpcore.connection | connect_tcp.started host='api.openai.com' port=443 local_address=None timeout=5.0 socket_options=None
2025-05-22 08:55:09,396 | DEBUG | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x1086be660>
2025-05-22 08:55:09,397 | DEBUG | httpcore.connection | start_tls.started ssl_context=<ssl.SSLContext object at 0x103d85760> server_hostname='api.openai.com' timeout=5.0
2025-05-22 08:55:09,443 | DEBUG | httpcore.connection | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x1098b0410>
2025-05-22 08:55:09,443 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2025-05-22 08:55:09,444 | DEBUG | httpcore.http11 | send_request_headers.complete
2025-05-22 08:55:09,444 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2025-05-22 08:55:09,444 | DEBUG | httpcore.http11 | send_request_body.complete
2025-05-22 08:55:09,444 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
